CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,TotalNetProfit,NetProfitPerOrder,InStoreRevShare,UERevShare,DDRevShare,SDRevShare,COGS_Rev_Ratio,OPEX_Rev_Ratio,TotalCostRate,Commission_UE,Commission_DD,DeliveryCost_SD,GrowthAdjOrders,GrowthAdjRevenue,InStorePPO,UE_PPO,DD_PPO,SD_PPO,CuisineType_enc,Segment_enc,Subregion_enc
Burgers,25731,Urban Burgers House,Cafe,North Shore,1.03,43.97,668,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.2087414306961,0.366171811125241,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,7964.5599999999995,11.922994011976048,0.2949101796407186,0.31736526946107785,0.17664670658682635,0.21107784431137727,0.2087414306961,0.366171811125241,0.574913241821341,0.12600000000000003,0.07,0.975,688.04,30253.1188,18.596666666666668,6.349530516431925,6.325882352941176,15.332323943661972,0,0,1
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.05,40.45,1388,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216602616012,0.407612904394045,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,8775.7,6.322550432276658,0.18659942363112395,0.36599423631123923,0.20317002881844384,0.24423631123919312,0.248216602616012,0.407612904394045,0.655829507010057,0.12600000000000003,0.07,1.416,1457.4,58951.829999999994,13.868153846153845,2.5905893909626716,2.5865371024734984,9.17464705882353,0,3,2
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,1.04,40.03,1717,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956366688,0.407931713876314,0.3,11,3.25,1163.5,7810.95,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,14403.26,8.38861968549796,0.3051834595224228,0.3127548048922539,0.1735585323238206,0.2085032032615026,0.219687956366688,0.407931713876314,0.627619670243002,0.135,0.075,0.975,1785.68,71480.77040000001,14.878,2.892007434944238,2.8876923076923076,11.623927576601671,0,0,3
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,1.03,36.28,1083,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290996648371,0.437815106310882,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,5266.83,4.863185595567867,0.19944598337950134,0.36011080332409967,0.20036934441366572,0.2400738688827331,0.237290996648371,0.437815106310882,0.675106102959253,0.14850000000000002,0.0825,0.267,1115.49,40469.97720000001,11.732811059907833,-0.18478260869565216,-0.18440366972477065,10.855402298850576,0,3,1
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.05,34.34,1230,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437567938119,0.433456663764082,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,6119.35,4.975081300813009,0.21219512195121948,0.3544715447154471,0.1967479674796748,0.23658536585365852,0.221437567938119,0.433456663764082,0.654894231702201,0.14850000000000002,0.0825,0.798,1291.5,44350.11000000001,11.805687022900765,0.5175514874141877,0.5165843621399177,9.15945205479452,0,0,2
Burgers,26138,King Burgers Kitchen,QSR,North Shore,1.03,36.88,827,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131494924426,0.395680021704175,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,4582.5,5.541112454655381,0.1934703748488513,0.36275695284159615,0.20193470374848851,0.2418379685610641,0.265131494924426,0.395680021704175,0.660811516628601,0.1305,0.0725,1.152,851.8100000000001,31414.7528,12.431552795031056,1.8080398671096347,1.8032738095238094,8.626119402985074,0,3,1
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.05,46.32,881,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100138861686,0.372992298309691,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,9608.97,10.906889897843358,0.19977298524404086,0.3598183881952327,0.19977298524404086,0.2406356413166856,0.224100138861686,0.372992298309691,0.597092437171377,0.12600000000000003,0.07,0.6209999999999999,925.0500000000001,42848.316,18.55723163841808,5.6751886792452835,5.66090395480226,16.514788732394365,0,3,2
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,0.99,34.74,800,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647804650944,0.293128232413437,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,5056.68,6.32085,0.09000000000000001,0.41,0.2275,0.27249999999999996,0.285647804650944,0.293128232413437,0.5787760370643811,0.1395,0.0775,1.5929999999999997,792.0,27514.079999999998,14.432876712328765,3.852188449848024,3.8427868852459017,9.280730593607306,0,2,0
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,0.99,32.79,612,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561002105,0.3755833853269,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,3426.42,5.598725490196078,0.24836601307189538,0.33823529411764697,0.18790849673202611,0.22549019607843135,0.279599561002105,0.3755833853269,0.655182946329005,0.135,0.075,0.708,605.88,19866.805200000003,11.23267973856209,1.4625,1.456896551724138,8.882158273381295,0,0,0
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.05,36.07,572,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.22032218426466,0.43025645299349,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,3748.2200000000003,6.552832167832168,0.22377622377622378,0.34965034965034963,0.19405594405594404,0.23251748251748253,0.22032218426466,0.43025645299349,0.65057863725815,0.12150000000000001,0.0675,0.975,600.6,21663.642000000003,12.505891472868218,2.850497512437811,2.839107142857143,9.283805970149254,0,3,2
Burgers,25009,Lucky Burgers Eatery,Cafe,South Auckland,1.05,45.34,1036,274,12423.16,343,190,229,15551.62,8614.6,10382.86,0.267623493429273,0.392365170945413,0.31,13,3.84,879.36,4224.02,466.72,258.54,2650.93,0.36,0.45,0.25,0.3,7600.210000000001,7.336110038610039,0.2644787644787645,0.3310810810810811,0.18339768339768342,0.22104247104247107,0.267623493429273,0.392365170945413,0.659988664374686,0.1395,0.0775,1.152,1087.8,49320.852,15.360072727272728,1.3567441860465117,1.3536125654450264,11.525782608695652,0,0,2
Burgers,25107,King Burgers Eatery,Ghost Kitchen,CBD,0.99,42.53,953,62,2636.86,401,223,267,17054.53,9484.19,11355.51,0.260719021281693,0.292267443262972,0.29,10,2.95,787.65,1178.71,2677.79,1489.15,4288.42,0.07,0.45,0.25,0.3,9634.07,10.109202518363064,0.06505771248688352,0.4207764952780692,0.2339979013641133,0.28016789087093386,0.260719021281693,0.292267443262972,0.5529864645446649,0.1305,0.0725,0.885,943.47,40125.77910000001,18.70968253968254,6.661169154228856,6.647991071428572,16.001567164179104,0,2,0
Burgers,25352,King Burgers Bistro,Ghost Kitchen,North Shore,1.03,31.83,1354,100,3183.0,564,314,376,17952.12,9994.62,11968.08,0.259987647132948,0.224010411184281,0.33,15,4.43,1665.68,1642.43,3339.13,1859.02,4509.87,0.08,0.45,0.25,0.3,11350.45,8.382902511078287,0.07385524372230429,0.41654357459379615,0.23190546528803546,0.2776957163958641,0.259987647132948,0.224010411184281,0.483998058317229,0.14850000000000002,0.0825,1.329,1394.6200000000001,44390.7546,16.261683168316832,5.909964601769912,5.901650793650794,11.962519893899204,0,2,1
Burgers,25255,Urban Burgers Diner,Cafe,North Shore,1.03,37.65,1511,302,11370.3,544,302,363,20481.6,11370.3,13666.95,0.210879622809589,0.369592107273638,0.28,16,4.72,1713.36,4770.16,2857.76,1586.48,4020.31,0.25,0.45,0.25,0.3,13234.71,8.75890800794176,0.199867637326274,0.36002647253474523,0.199867637326274,0.24023825281270686,0.210879622809589,0.369592107273638,0.5804717300832269,0.12600000000000003,0.07,1.416,1556.33,58595.824499999995,15.743102310231023,5.2435963302752295,5.2359075907590755,11.044807692307693,0,0,1
Burgers,26270,Top Burgers Diner,Ghost Kitchen,CBD,0.99,42.95,1382,53,2276.35,598,332,399,25684.1,14259.4,17137.05,0.259372560633346,0.309947346220724,0.29,18,5.31,2118.69,980.38,3613.24,2006.01,5261.9,0.04,0.45,0.25,0.3,11861.529999999999,8.582872648335744,0.03835021707670044,0.43270622286541244,0.2402315484804631,0.28871201157742404,0.259372560633346,0.309947346220724,0.56931990685407,0.1305,0.0725,1.5929999999999997,1368.18,58763.33099999999,18.155185185185186,6.03212020033389,6.024054054054054,13.15475,0,2,0
Burgers,25612,Classic Burgers Bistro,QSR,South Auckland,1.05,45.49,998,193,8779.57,362,201,242,16467.38,9143.49,11008.58,0.253722506202757,0.430719664134085,0.28,4,1.18,285.56,2770.46,585.54,325.12,3188.28,0.24,0.45,0.25,0.3,6869.4,6.88316633266533,0.19338677354709416,0.3627254509018036,0.20140280561122242,0.24248496993987972,0.253722506202757,0.430719664134085,0.684442170336842,0.12600000000000003,0.07,0.354,1047.9,47668.971000000005,14.280721649484537,1.6130578512396694,1.6095049504950496,13.120493827160495,0,3,2
Burgers,25436,Classic Burgers Tavern,Full-service,North Shore,1.03,42.97,718,242,10398.74,214,119,143,9195.58,5113.43,6144.71,0.368939419602975,0.501108688791282,0.32,8,2.36,337.48,1351.34,-1747.6,-971.8,461.04,0.51,0.45,0.25,0.3,-907.02,-1.2632590529247911,0.3370473537604457,0.298050139275766,0.1657381615598886,0.19916434540389974,0.368939419602975,0.501108688791282,0.8700481083942571,0.14400000000000002,0.08,0.708,739.54,31778.0338,5.561069958847736,-8.128372093023255,-8.098333333333333,3.2016666666666667,0,1,1
Burgers,25260,Classic Burgers Cafe,Full-service,West Auckland,1.04,32.34,2051,646,20891.64,632,351,422,20438.88,11351.34,13647.48,0.373705843370408,0.465107345278375,0.28,13,3.84,1620.48,3367.46,-2428.41,-1348.69,579.31,0.46,0.45,0.25,0.3,169.67000000000007,0.08272549975621651,0.3149683081423696,0.3081423695758167,0.1711360312042906,0.20575329107752316,0.373705843370408,0.465107345278375,0.8388131886487831,0.12600000000000003,0.07,1.152,2133.04,68982.5136,5.204729520865533,-3.8363507109004735,-3.831505681818182,1.369527186761229,0,1,3
Burgers,25452,Lucky Burgers Kitchen,Cafe,CBD,0.99,30.92,1308,324,10018.08,443,246,295,13697.56,7606.32,9121.4,0.23099601617083,0.373214836767875,0.31,11,3.25,958.75,3965.05,1175.1,652.54,2651.4,0.33,0.45,0.25,0.3,8444.09,6.45572629969419,0.2477064220183486,0.33868501529051986,0.18807339449541283,0.22553516819571864,0.23099601617083,0.373214836767875,0.6042108529387049,0.1395,0.0775,0.975,1294.92,40038.9264,12.200153846153846,2.6466216216216214,2.6418623481781376,8.957432432432432,0,0,0
Burgers,25319,King Burgers Diner,Cafe,West Auckland,1.04,45.6,799,184,8390.4,277,154,184,12631.2,7022.4,8390.4,0.279372675232589,0.399700684985146,0.29,15,4.43,815.12,2692.7,390.64,217.18,1877.58,0.3,0.45,0.25,0.3,5178.099999999999,6.48072590738423,0.23028785982478095,0.34668335419274093,0.1927409261576971,0.23028785982478095,0.279372675232589,0.399700684985146,0.679073360217735,0.1305,0.0725,1.329,830.96,37891.776000000005,14.555135135135135,1.4051798561151079,1.4011612903225807,10.14908108108108,0,0,3
